醋氨酚	Acetaminophen
【计】 作用顺序图, 动作顺序图	action sequence diagram
【计】 动作说明	action specification
【化】 作用光谱	action spectrum
【计】 作用点	action spot
战位	action station
【电】 作用末段	action stub
【计】 动作符号	action symbol
【医】 动作系统	action system
【医】 动作学说	action theory
【经】 申请强制执行判决的诉讼	action to enforce judgements
【经】 要求照价偿还的诉讼, 要求收回价款的诉讼	action to recover the price
【计】 动作记号	action token
【医】 动作电流	action-current
*['?k??n?bl]\\na. 可提起诉讼的\\n【经】 能起诉的	actionable
【法】 可起诉的诈欺	actionable fraud
【法】 可起诉的诽谤	actionable libel
【法】 可起诉的言词误导	actionable misrepresentation
【法】 可起诉的过失	actionable negligence
【法】 可起诉的妨害, 可起诉的公害	actionable nuisance
【法】 当然诽谤	actionable per se
【法】 可起诉的侵权行为	actionable tort
【法】 可起诉的言论	actionable words
【法】 可起诉的损害行为, 可起诉的违法行为	actionable wrongdoing
【机】 线菌壳多糖	actionchitin
【法】 诉讼	actiones
【法】 附带债务	actiones adjuctici qualitatis
【法】 合法行为, 法律诉讼	actiones legis
*['?k??nlis]\\na. 静止不动的, 不采取行动的	actionless
【医】 放线菌酶	actionozyme
【法】 民事诉讼	actions civil
【法】 刑事诉讼	actions penal
【法】 物权诉讼, 对物的诉讼	actions real
行动比言语更响亮	Actions speak louder than words
【化】 放线菌酚	actiphenol
【化】 放线噻唑酸\\n【医】 放线噻唑酸, 杀分支菌酸, 杀分支菌素	actithiazic acid
【化】 可活化示踪剂	activable tracer
*['?ktiveit]\\nvt. 使活动, 使激活, 正式建成\\nvi. 有活力\\n【医】 活化, 致活, 激活	activate
【机】 活化能	activate energy
【计】 启动键	activate key
【计】 激活原语	activate primitive
【计】 启动任务	activate task
【医】 活化7-脱氢胆甾醇	activated 7-dehydrocholesterol
【化】 活性吸附; 化学吸附	activated absorption
【机】 活性吸收	activated adsorption
【化】 活性矾土; 活性铝土	activated alumina
【机】 活性铝	activated aluminium
【化】 活性氧化铝	activated aluminium oxide
【医】 激活原子	activated atom
【机】 活性铁铝氧石	activated bauxite
【化】 活性炭; 活性炭黑\\n【医】 活性碳	activated carbon
【化】 活性阴极	activated cathode
【化】 活性炭	activated char
【化】 活性炭\\n【医】 活性炭	activated charcoal
【化】 活性土; 活性粘土	activated clay
【化】 活化络合物; 活化复体	activated complex
【化】 活化络合物理论	activated complex theory
【化】 活性陶土; 活性陶土补强剂	activated earth
【医】 诱发性癫痫	activated epilepsy
【医】 活化麦角甾醇, 照射麦角甾醇	activated ergosterol
【化】 活性漂白土	activated Fuller earth
【机】 活化甘油酯稳定剂	activated glycerlde stabilizer
【医】 增生性移植物	activated graft
【医】 活性氢	activated hydrogen
【化】 活化分子	activated molecule
【机】 活性微晶高岭土	activated montmorillonite clay
【机】 活性石油焦	activated petroleum coke
【机】 活性化法	activated process
【医】 活化污水	activated sewage
【化】 活化硅胶	activated silica gel
【化】 活性污泥\\n【医】 活性污泥	activated sludge
【医】 活性污泥法(污水处理)	activated sludge method
【医】 活化污泥	activated sludge sewage
【医】 活化污泥地	activated sludge tank
【医】 激活状态	activated state
【化】 促进剂胶料; 含促进剂胶料	activated stock
【机】 活性辅助物	activated support
【化】 活化水	activated water
【化】 活性沸石	activated zeolite
【化】 活性氧化锌	activated zinc flower
【化】 活性氧化锌	activated zinc oxide
【计】 启动	activating
【化】 助促进剂	activating acceleator
【化】 活化剂	activating agent
【机】 活性膨土	activating bentonite
【化】 活化基团	activating group
【机】 丁烷活性化, 丁烷的脱氢作用	activating of butane
【化】 活化试剂	activating reagent
【计】 启动信号	activating signal
*[?kti'vei??n]\\nn. 活化, 激活\\n【化】 活化; 活化作用; 激活; 激活作用\\n【医】 活化[作用], 致活, 激活	activation
【化】 活化吸附; 活化吸附作用	activation adsorption
【化】 活化分析; 放射化分析	activation analysis
【计】 激励分程序	activation block
【电】 活化阴极	activation cathode
【化】 活化中心	activation center
【化】 活化能	activation energy
【化】 吸附活化能	activation energy of adsorption
【化】 活化焓	activation enthalpy
【化】 活化熵	activation entropy
【电】 活化能量	activation evergy
【医】 致活因子, [凝血]第十二因子	activation factor
【计】 活动标志	activation flag
【化】 活化度	activation grade
【化】 活化热	activation heat
【计】 激活机制	activation mechanism
【机】 活化值	activation number
【医】 酶致活[作用]	activation of enzymes
【电】 灯丝活化	activation of filament
【化】 活化参量; 活化参数	activation parameter
【化】 活化极化	activation polarization
【化】 活化电势; 活化电位	activation potential
【医】 生物曝气法	activation process
【计】 活动记录	activation record
【计】 激活栈	activation stack
【化】 活化温度	activation temperature
【电】 活化时间	activation time
*['?ktiveit?]\\nn. 活化剂, 催化剂, 触媒剂\\n【化】 助催化剂; 活化剂; 激活剂; 激活剂发光材料\\n【医】 活化质, 激活质; 活化剂	activator
【医】 促活器, 刺激性矫正器	activator appliance
【计】 活化剂显影	activator development
*['?ktiv]\\na. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\\nn. 主动语态, 积极分子\\n【医】 有效的; 活性的	active
【化】 有效吸收容积	active absorption volume
【经】 活动帐户	active account
【化】 活性酸度	active acidity
【化】 外加源活化分析; 有源活化分析	active activation analysis
【法】 自动代理	active agency
【化】 活性剂	active agent
【医】 活性氧化铝	active alumine
【医】 主动性精神错乱	active amentia
【化】 旋性戊基; 2-甲代丁基	active amyl
【化】 旋性戊醇	active amyl alcohol
【建】 旋性成基汞化溴	active amyl mercuric bromide
【化】 旋性戊基·甲基酮; 旋性戊基·甲基甲酮	active amyl methyl ketone
【化】 丙酸旋性戊酯	active amyl propionate
【机】 硬酸旋性成酯	active amyl stearate
【医】 自动过敏性	active anaphylaxis
【化】 活性蒽炭黑; 活性蒽炭黑补强剂	active anthracene black
【经】 有效面积	active area
【经】 活跃资产, 有收益的资产	active assets
【经】 顺差	active balance
【经】 国际收支顺差	active balance of payment
【电】 有源平衡回流损失	active balance return loss
【计】 可使用数据库	active bank
【计】 活动边框	active border
【计】 有源磁泡产生器	active bubble generator
【经】 活动资本, 有收益的资产, 流动资本	active capital
【化】 活性炭; 活性炭黑	active carbon
【计】 现用卡片	active card
【医】 病期带菌者	active carrier
【机】 动子	active cell
【化】 有效中心; 活性中心	active center
【机】 活性中心	active centres
【计】 占用通道, 占线信道	active channel
【化】 活性炭	active charcoal
【计】 活动图表	active chart
【化】 活性氯\\n【医】 有效氯, 活性氯	active chlorine
【经】 流通额, 流通中的货币	active circulation
【法】 积极公民	active citizens
【机】 活性粘土	active clay
【机】 有效线圈	active coil
【经】 自主贸易, 独立贸易	active commerce
【电】 有效人造卫星通讯	active communications satellite
【机】 活性错合物	active complex
【医】 有功成分	active component
【电】 作用电脑	active computer
【电】 同时亦称为有效人造卫星通讯	active comsat
【法】 故意隐匿, 故意隐瞒	active concealment
【机】 活性状态	active condition
【医】 自动充血	active congestion
【化】 活性组分	active constituent
【计】 有效约束	active constraint
【化】 有效冷却面	active cooling surface
【电】 主动关联器	active correlator
【法】 现行反革命分子	active counter revolutionary
【法】 自动债权	active credit
【法】 现行犯罪, 主要罪行	active crime
【化】 有功电流	active current
【经】 实际资料(数据), 常用数据	active data
【计】 当前数据区, 现役数据区	active data area
【计】 活动数据词典	active data dictionary
【法】 有息借款, 自动债务	active debt
【经】 活动债务	active debts
【电】 活性译码机	active decoder
【医】 主动防御反应	active defense reaction
【医】 躁狂性谵妄, 活动性谵妄	active delirium
【经】 畅销, 迫切需求	active demand
【化】 活性淀积\\n【医】 放射性淀质	active deposit
【电】 活性装备, 看active component活性部份	active device
【计】 现行现用DO循环	active DO-loop
【化】 活性干酵母	active dry yeast
现役\\n【法】 现役	active duty
【机】 有功接地	active earth
【电】 主动电子反制	active elctronic countermeasures
【电】 活性电路	active electric network
【医】 作用电极, 有效电极, 疗用电极	active electrode
【计】 有源元件	active element
【医】 自动长出	active eruption
【医】 自动运动	active exercise
【医】 主动呼[气]	active expiration
【法】 积极的明示信托	active express trust
【化】 活性特压润滑剂	active extreme pressure lubricant
【机】 活性酵素	active ferment
【计】 现用文件	active file
【化】 活性填料; 补强剂	active filler
【电】 活性滤波器	active filter
【化】 仍在继续的火灾	active fire
【机】 活性气	active gas
【化】 活性气体; 腐蚀性气体	active gases
【电】 有效指导	active guidance
【电】 有效复位	active homing
【计】 有源集线器	active hub
【机】 活性氢	active hydrogen
【化】 活性氢原子	active hydrogen atom
【化】 活泼氢化合物	active hydrogen compounds
【医】 主动性充血, 动脉性充血	active hyperemia
【化】 自动免疫性\\n【医】 自动免疫	active immunity
【医】 自动免疫法	active immunization
【医】 自动性失禁	active incontinence
【电】 有效红外线检波	active infrared detection
【化】 活性组分\\n【医】 有效成分	active ingredient
【医】 主动吸[气]	active inspiration
【计】 活动指令	active instruction
【医】 肌运动机能不全	active insufficiency
【化】 有源探询; 外加探询; 外加源探询; 主动探询	active interrogation
【电】 活性铁	active iron
【电】 活性扰乱	active jamming
【电】 活性格子	active lattice
【电】 活性脚铁	active leg
【化】 工作长度	active length
【医】 主动性白细胞增多	active leukocytosis
【计】 活动线路; 有效线路	active line
【计】 活动日志	active logging
【电】 有源逻辑	active logic
【化】 活性低结构炭黑	active low structure black
【经】 活跃的市场, 热门股票, 大量交易的市场	active market
【化】 有效质量	active mass
【医】 主动按摩	active massage
【电】 常用主文件	active master file
【电】 常用主文件项目	active master item
【经】 热门材料, 需求量大的材料	active material
【化】 活性物含量	active matter content
【化】 活性微生物	active microorganism
【法】 有意的虚伪陈述	active misrepresentation
【电】 有效混合和调变器	active mixer and modulatior
【医】 主动运动	active movement
【医】 主动违拗症	active negativism
【法】 认识过失	active negligence
【计】 有源网络	active network
【化】 外加中子分析	active neutron analysis
【化】 外加中子探询法; 有源中子探询法	active neutron interrogation (method)
【化】 活性氮	active nitrogen
【计】 活动节点	active node
【化】 外加源无损测试	active nondestructive assay
【化】 可采石油储量计算; 可采有效石油储量计算	active oil calculation
【计】 当前操作符, 当前运算符	active operator
【化】 实际产量	active output
【化】 活性氧	active oxygen
【化】 活性氧试验	active oxygen test
【计】 活动页	active page
【计】 活动页面队	active page queue
【计】 能动部分, 主动部分	active part
【法】 积极参与者	active participant
【计】 活动分区	active partition
【经】 普通股东, 参与经营的合伙人	active partner
【化】 活性颜料	active pigment
【电】 有效极面	active polar surface
【化】 有效孔隙度; 有效空隙度	active porosity
【经】 交易所内交易活跃的专柜	active post
【化】 有功功率	active power
【电】 有效压力	active pressure
【化】 有效要素; 有效组分; 有效成分\\n【医】 有效成分	active principle
【机】 有效要素, 有效组份, 有效成份	active princlple
【计】 当前过程, 现役过程	active procedure
【计】 活动进程	active process
【计】 活动程序	active program
【计】 有源上拉	active pull-up
【机】 活性根	active radicals
【电】 活性RC电路	active rc network
【医】 主动反应	active reaction
【计】 作用区, 活动区	active region
【机】 活泼区域, 活性中心, 活泼中心(反应)	active regions
【经】 活动准备金, 常用准备金	active reserve
【医】 抵抗运动(肌肉)	active resistive exercise
【法】 现行破坏活动	active sabotage
【电】 放射性人造卫星	active satellite
【电】 有效扫描区	active scanning interval
【化】 有效截面; 活动截面	active section
【经】 交易活跃的证券, 热门证券, 需求较多的证券	active securities
【医】 自动致敏	active sensitization
【医】 活性血清(含补体的血清)	active Serum
现役\\n【法】 现役, 战时勤务	active service
【化】 活性部位; 活性中心	active site
【医】 主动睡眠	active sleep
【化】 活性污泥	active sludge
【机】 有效溶剂	active solvent
【电】 有效声纳	active sonar
【机】 活性点	active spot
【计】 活动栈, 操作栈	active stack
【医】 进行期, 活动期	active stage
